iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,population,gdp_per_capita
BEN,Africa,Benin,4/20/2021,7720,109,97,2,636.796,8.991,2.416,8.001,0.165,12123198,2064.236
BTN,Asia,Bhutan,4/20/2021,966,5,1,0,1251.925,6.48,7.221,1.296,0,771612,8708.597
BOL,South America,Bolivia,4/20/2021,291675,1313,12695,29,24987.088,112.482,91.689,1087.55,2.484,11673029,6885.829
BIH,Europe,Bosnia and Herzegovina,4/20/2021,191876,722,8025,87,58484.249,220.067,312.553,2446.039,26.518,3280815,11713.895
BWA,Africa,Botswana,4/20/2021,44702,0,684,0,19008.983,0,76.421,290.863,0,2351625,15807.374
BRA,South America,Brazil,4/20/2021,14043076,69381,378003,3321,66066.593,326.408,297.787,1778.34,15.624,212559409,14103.452
BRN,Asia,Brunei,4/20/2021,223,2,3,0,509.734,4.572,1.306,6.857,0,437483,71809.251
BGR,Europe,Bulgaria,4/20/2021,390911,2096,15518,106,56258.774,301.65,264.232,2233.305,15.255,6948445,18563.307
BFA,Africa,Burkina Faso,4/20/2021,13167,19,155,1,629.901,0.909,1.216,7.415,0.048,20903278,1703.102
BDI,Africa,Burundi,4/20/2021,3643,166,6,0,306.372,13.96,4.577,0.505,0,11890781,702.225
KHM,Asia,Cambodia,4/20/2021,7444,431,49,4,445.243,25.779,23.481,2.931,0.239,16718971,3645.07
CMR,Africa,Cameroon,4/20/2021,64809,0,939,0,2441.397,0,16.564,35.373,0,26545864,3364.926
CAN,North America,Canada,4/20/2021,1146817,7226,23698,49,30385.571,191.457,230.557,627.892,1.298,37742157,44017.591
CPV,Africa,Cape Verde,4/20/2021,20781,154,194,1,37376.706,276.984,398.261,348.928,1.799,555988,6222.554
CAF,Africa,Central African Republic,4/20/2021,5929,142,79,4,1227.596,29.401,7.306,16.357,0.828,4829764,661.24
TCD,Africa,Chad,4/20/2021,4723,15,169,0,287.534,0.913,0.617,10.289,0,16425859,1768.153
CHL,South America,Chile,4/20/2021,1136189,4849,25317,40,59435.895,253.659,354.815,1324.373,2.092,19116209,22767.037
CHN,Asia,China,4/20/2021,102293,29,4845,0,71.07,0.02,0.019,3.366,0,1439323774,15308.712
COL,South America,Colombia,4/20/2021,2684101,16965,69177,429,52750.567,333.413,322.272,1359.534,8.431,50882884,13254.949
COM,Africa,Comoros,4/20/2021,3820,1,146,0,4392.85,1.15,3.943,167.894,0,869595,1413.89
COG,Africa,Congo,4/20/2021,10084,0,139,0,1827.443,0,0,25.19,0,5518092,4881.406
CRI,North America,Costa Rica,4/20/2021,231967,1130,3104,5,45536.28,221.825,185.761,609.331,0.982,5094114,15524.995
CIV,Africa,Cote d'Ivoire,4/20/2021,45614,44,275,1,1729.226,1.668,1.89,10.425,0.038,26378275,3601.006
HRV,Europe,Croatia,4/20/2021,310306,2106,6643,42,75587.27,512.999,537.01,1618.165,10.231,4105268,22669.797
CUB,North America,Cuba,4/20/2021,95754,1183,538,7,8453.893,104.444,92.185,47.499,0.618,11326616,
CYP,Europe,Cyprus,4/20/2021,58022,941,295,1,66242.797,1074.325,875.835,336.797,1.142,875899,32415.132
CZE,Europe,Czechia,4/20/2021,1606030,3319,28640,108,149970.371,309.927,280.045,2674.391,10.085,10708982,32605.906
COD,Africa,Democratic Republic of Congo,4/20/2021,29084,128,748,3,324.738,1.429,0.668,8.352,0.033,89561404,808.133
DNK,Europe,Denmark,4/20/2021,244759,692,2464,4,42256.634,119.471,128.202,425.399,0.691,5792203,46682.515
DJI,Africa,Djibouti,4/20/2021,10557,47,123,4,10685.201,47.571,69.404,124.494,4.049,988002,2705.406
DMA,North America,Dominica,4/20/2021,165,0,,,2291.953,0,0,,,71991,9673.367
DOM,North America,Dominican Republic,4/20/2021,261848,317,3426,4,24138.119,29.222,42.286,315.821,0.369,10847904,14600.861
ECU,South America,Ecuador,4/20/2021,361154,591,17744,41,20470.032,33.498,109.837,1005.721,2.324,17643060,10581.936
EGY,Africa,Egypt,4/20/2021,218041,855,12820,42,2130.672,8.355,8.252,125.276,0.41,102334403,10550.206
SLV,North America,El Salvador,4/20/2021,67851,294,2082,4,10460.823,45.327,22.796,320.989,0.617,6486201,7292.458
GNQ,Africa,Equatorial Guinea,4/20/2021,7505,246,106,0,5349.309,175.34,29.122,75.553,0,1402985,22604.873
ERI,Africa,Eritrea,4/20/2021,3548,11,10,0,1000.444,3.102,3.182,2.82,0,3546427,1510.459
EST,Europe,Estonia,4/20/2021,118317,535,1104,4,89192.251,403.305,348.598,832.241,3.015,1326539,29481.252
SWZ,Africa,Eswatini,4/20/2021,18417,0,671,0,15874.48,0,1.847,578.367,0,1160164,7738.975
ETH,Africa,Ethiopia,4/20/2021,245155,1524,3439,47,2132.458,13.256,15.711,29.914,0.409,114963583,1729.927
FJI,Oceania,Fiji,4/20/2021,77,5,2,0,85.895,5.578,1.434,2.231,0,896444,8702.975
FIN,Europe,Finland,4/20/2021,84501,214,893,2,15250.912,38.623,49.942,161.17,0.361,5540718,40585.721
FRA,Europe,France,4/20/2021,5401305,44076,101713,374,79258.816,646.772,490.615,1492.538,5.488,68147687,38605.671
GAB,Africa,Gabon,4/20/2021,22032,0,136,0,9898.784,0,68.1,61.104,0,2225728,16562.413
GMB,Africa,Gambia,4/20/2021,5784,64,170,0,2393.382,26.483,10.759,70.345,0,2416664,1561.767
GEO,Asia,Georgia,4/20/2021,297728,1792,3959,10,74633.978,449.216,272.129,992.436,2.507,3989175,9745.079
DEU,Europe,Germany,4/20/2021,3198534,31397,80680,327,38175.978,374.738,246.397,962.953,3.903,83783945,45229.245
GHA,Africa,Ghana,4/20/2021,91709,0,771,0,2951.41,0,1.375,24.813,0,31072945,4227.63
GRC,Europe,Greece,4/20/2021,320629,3750,9627,87,30761.516,359.779,267.621,923.625,8.347,10423056,24574.382
GRD,North America,Grenada,4/20/2021,157,0,1,0,1395.32,0,2.539,8.887,0,112519,13593.877
